Completed,Difference,Fate,Hull_Number,Laid_Down,Launched,Name,Namesake,Shipyard,Type
1942-04-27,196.0,Scrapped 1965,26,1941-10-13,1942-03-14,Francis L Lee,Francis L. Lee,Bethlehem-Fairfield Shipyards,Cargo
1942-04-27,235.0,Scrapped 1967,150,1941-09-04,1942-03-22,Francis Marion,Francis Marion,North Carolina Shipbuilding Co,Cargo
1942-04-27,95.0,"Sold private 1947, scrapped 1970",234,1942-01-22,1942-03-22,Robert G Harper,Robert G. Harper,Oregon Shipbuilding Corp,Cargo
1942-04-28,89.0,"Torpedoed off New Caledonia 1942, to U.S. Navy as IX-103, wrecked 1949, scrapped",186,1942-01-29,1942-03-26,Edgar Allan Poe,Edgar Allan Poe,Oregon Shipbuilding Corp,Cargo
1942-04-28,271.0,Scrapped 1966,71,1941-07-31,1942-01-31,Samuel Adams,Samuel Adams,California Shipbuilding Corp,Cargo
1942-04-30,204.0,Torpedoed from the air and lost off Sicily 1943,246,1941-10-08,1942-03-28,Timothy Pickering,Timothy Pickering,Permanente Metals Co Yard,Cargo
1942-04-30,162.0,Torpedoed by U-753 in 1942,29,1941-11-19,1942-03-14,George Calvert,George Calvert,Bethlehem-Fairfield Shipyards,Cargo
1942-04-30,231.0,"Torpedoed off Savannah but unharmed 1943, torpedoed and lost in the Arabian Sea 1944",277,1941-09-11,1942-02-12,Albert Gallatin,Albert Gallatin,California Shipbuilding Corp,Cargo
1942-05-02,86.0,Torpedoed and lost off Trinidad 1942,187,1942-02-05,1942-03-31,Nathaniel Hawthorne,Nathaniel Hawthorne,Oregon Shipbuilding Corp,Cargo
1942-05-04,85.0,Scrapped 1962,188,1942-02-08,1942-04-05,John G Whittier,John G. Whittier,Oregon Shipbuilding Corp,Cargo
1942-05-05,119.0,"Sold private 1947, wrecked and scrapped 1964",32,1942-01-06,1942-03-28,Robert Treat Paine,Robert Treat Paine,Bethlehem-Fairfield Shipyards,Cargo
1942-05-06,226.0,Scrapped 1968,217,1941-09-22,1942-03-29,Joseph Hewes,Joseph Hewes,North Carolina Shipbuilding Co,Cargo
1942-05-07,80.0,"Torpedoed off Key West 1942, repaired, scrapped 1963",189,1942-02-16,1942-04-07,William Cullen Bryant,William Cullen Bryant,Oregon Shipbuilding Corp,Cargo
1942-05-07,220.0,Mined off Gorgona 1946 and scrapped,72,1941-09-29,1942-02-04,Nathan Hale,Nathan Hale,California Shipbuilding Corp,Cargo
1942-05-09,229.0,Scrapped 1970,24,1941-09-22,1942-03-28,George Wythe,George Wythe,Bethlehem-Fairfield Shipyards,Cargo
1942-05-09,194.0,Scrapped 1961,73,1941-10-27,1942-02-24,Zebulon Pike,Zebulon Pike,California Shipbuilding Corp,Cargo
1942-05-09,79.0,"Torpedoed off Algeria 1943, salvaged 1953 and scuttled",190,1942-02-19,1942-04-12,James Russell Lowell,James Russell Lowell,Oregon Shipbuilding Corp,Cargo
1942-05-09,236.0,Scrapped 1971,278,1941-09-15,1942-02-18,Oliver Hazard Perry,Oliver Hazard Perry,California Shipbuilding Corp,Cargo
1942-05-11,129.0,Sunk by gunfire in the South Atlantic 1942,247,1942-01-02,1942-04-14,Stephen Hopkins,Stephen Hopkins,Permanente Metals Co Yard,Cargo
1942-05-11,230.0,Torpedoed and scuttled off Greenland 1942,218,1941-09-23,1942-04-12,John Penn,John Penn,North Carolina Shipbuilding Co,Cargo
1942-05-12,153.0,"Kamikazied off Leyte 1944, repaired, converted to diesel 1956, scrapped 1981",30,1941-12-10,1942-04-04,Thomas Nelson,Thomas Nelson,Bethlehem-Fairfield Shipyards,Cargo
1942-05-13,79.0,Scrapped 1972,191,1942-02-23,1942-04-16,Henry D Thoreau,Henry D. Thoreau,Oregon Shipbuilding Corp,Cargo
1942-05-13,177.0,Torpedoed and lost off the Maldives 1943,74,1941-11-17,1942-03-06,Henry Knox,Henry Knox,California Shipbuilding Corp,Cargo
1942-05-15,291.0,"Broke up in the North Atlantic and scuttled, 1943",1,1941-07-28,1942-01-31,J L M Curry,J. L. M. Curry,Alabama Dry Dock Co,Cargo
1942-05-15,78.0,Scrapped 1960,192,1942-02-26,1942-04-19,Ralph Waldo Emerson,Ralph Waldo Emerson,Oregon Shipbuilding Corp,Cargo
1942-05-16,215.0,Scrapped 1961,281,1941-10-13,1942-03-22,Abiel Foster,Abiel Foster,California Shipbuilding Corp,Cargo
1942-05-16,208.0,Scrapped 1972,27,1941-10-20,1942-04-12,Thomas Stone,Thomas Stone,Bethlehem-Fairfield Shipyards,Cargo
1942-05-17,73.0,Scrapped 1971,193,1942-03-05,1942-04-23,James Whitcomb Riley,James Whitcomb Riley,Oregon Shipbuilding Corp,Cargo
1942-05-18,118.0,Bombed and lost off Anzio 1944,248,1942-01-20,1942-04-26,Samuel Huntington,Samuel Huntington,Permanente Metals Co Yard,Cargo
1942-05-20,134.0,"To U.S. Army as hospital ship Jasmine, scrapped 1963",33,1942-01-06,1942-04-12,St Olaf,St. Olaf,Bethlehem-Fairfield Shipyards,Cargo
1942-05-20,240.0,Scrapped 1966,279,1941-09-22,1942-02-28,Elbridge Gerry,Elbridge Gerry,California Shipbuilding Corp,Cargo
1942-05-20,212.0,Scrapped 1961,282,1941-10-20,1942-03-31,Benjamin Goodhue,Benjamin Goodhue,California Shipbuilding Corp,Cargo
1942-05-21,232.0,"Blew up in Finschaven 1944, declared total loss but refloated, scrapped",219,1941-10-01,1942-04-26,John C Calhoun,John C. Calhoun,North Carolina Shipbuilding Co,Cargo
1942-05-22,71.0,Scrapped 1964,235,1942-03-12,1942-04-27,Samuel Moody,Samuel Moody,Oregon Shipbuilding Corp,Cargo
1942-05-22,65.0,Torpedoed and lost off Cuba 1943,236,1942-03-18,1942-04-30,John Sevier,John Sevier,Oregon Shipbuilding Corp,Cargo
1942-05-22,60.0,Scrapped 1961,237,1942-03-23,1942-05-05,Jonathan Edwards,Jonathan Edwards,Oregon Shipbuilding Corp,Cargo
1942-05-23,115.0,Scrapped 1967,34,1942-01-28,1942-04-27,Esek Hopkins,Esek Hopkins,Bethlehem-Fairfield Shipyards,Cargo
1942-05-23,152.0,Scrapped 1971,76,1941-12-22,1942-04-08,William Floyd,William Floyd,California Shipbuilding Corp,Cargo
1942-05-25,60.0,Scrapped 1970,194,1942-03-26,1942-05-07,Oliver Wendell Holmes,Oliver Wendell Holmes,Oregon Shipbuilding Corp,Cargo
1942-05-27,119.0,Scrapped 1963,35,1942-01-28,1942-04-23,Peter Minuit,Peter Minuit,Bethlehem-Fairfield Shipyards,Cargo
1942-05-27,313.0,"Torpedoed and lost off the Virgin Islands, 1942",95,1941-07-18,1942-03-29,Sam Houston,Sam Houston,Todd Houston Shipbuilding Corp,Cargo
1942-05-27,119.0,Scrapped 1966,78,1942-01-28,1942-04-16,Caleb Strong,Caleb Strong,California Shipbuilding Corp,Cargo
1942-05-28,58.0,Scrapped 1972,195,1942-03-31,1942-05-11,Walt Whitman,Walt Whitman,Oregon Shipbuilding Corp,Cargo
1942-05-28,168.0,Torpedoed and lost off the Azores 1943,151,1941-12-11,1942-05-10,Charles C Pinckney,Charles C. Pinckney,North Carolina Shipbuilding Co,Cargo
1942-05-28,108.0,Scrapped 1968,249,1942-02-09,1942-05-09,William Ellery,William Ellery,Permanente Metals Co Yard,Cargo
1942-05-29,205.0,Torpedoed and lost in the Caribbean 1942,301,1941-11-05,1942-04-30,Thomas McKean,Thomas McKean,Bethlehem-Fairfield Shipyards,Cargo
1942-05-29,118.0,Scrapped 1973,79,1942-01-31,1942-04-21,Paine Wingate,Paine Wingate,California Shipbuilding Corp,Cargo
1942-05-29,235.0,"Wrecked, broke in two, off Moreton Island 1942. Bow half salvaged, equipped for vessel repair & supply. Dubbed Half Rufus towed to Milne Bay for U.S. Army use. Sunk as target by RAAF",280,1941-10-06,1942-03-11,Rufus King,Rufus King,California Shipbuilding Corp,Cargo
1942-05-31,242.0,Scrapped 1961,120,1941-10-01,1942-03-28,William C C Claiborne,William C. C. Claiborne,Delta Shipbuilding Co,Cargo
1942-05-31,56.0,Scrapped 1959,196,1942-04-05,1942-05-16,Mark Twain,Mark Twain,Oregon Shipbuilding Corp,Cargo
1942-05-31,286.0,"YAG 1955, scrapped 1971",2,1941-08-18,1942-02-21,John Marshall,John Marshall,Alabama Dry Dock Co,Cargo
1942-06-01,46.0,Scrapped 1968,199,1942-04-16,1942-05-22,Thomas Bailey Aldrich,Thomas Bailey Aldrich,Oregon Shipbuilding Corp,Cargo
1942-06-02,104.0,Torpedoed and lost in the North Atlantic 1942,36,1942-02-18,1942-05-06,Alexander Macomb,Alexander Macomb,Bethlehem-Fairfield Shipyards,Cargo
1942-06-02,319.0,"Converted to pipelayer 1969, converted to barge 1980s, scrapped 2011-2013.",96,1941-07-18,1942-04-19,Davy Crockett,Davy Crockett,Todd Houston Shipbuilding Corp,Cargo
1942-06-03,119.0,Scrapped 1970,80,1942-02-04,1942-04-27,James Monroe,James Monroe,California Shipbuilding Corp,Cargo
1942-06-04,135.0,Scrapped 1965,152,1942-01-20,1942-05-17,John Cropper,John Cropper,North Carolina Shipbuilding Co,Cargo
1942-06-05,93.0,Scrapped 1964,38,1942-03-04,1942-05-11,Eleazar Wheelock,Eleazar Wheelock,Bethlehem-Fairfield Shipyards,Cargo
1942-06-05,59.0,Scrapped 1972,197,1942-04-07,1942-05-22,Washington Irving,Washington Irving,Oregon Shipbuilding Corp,Cargo
1942-06-06,114.0,Scrapped 1972,283,1942-02-12,1942-04-30,John Hathorn,John Hathorn,California Shipbuilding Corp,Cargo
1942-06-08,57.0,"Sold private 1951, wrecked and scrapped 1967",198,1942-04-12,1942-05-22,James Fenimore Cooper,James Fenimore Cooper,Oregon Shipbuilding Corp,Cargo
1942-06-08,103.0,Scrapped 1966,37,1942-02-25,1942-05-14,Henry St G Tucker,"Henry St. George Tucker, Sr.",Bethlehem-Fairfield Shipyards,Cargo
1942-06-09,111.0,Scrapped 1965,284,1942-02-18,1942-05-05,Edwin Markham,Edwin Markham,California Shipbuilding Corp,Cargo
1942-06-10,93.0,"Torpedoed in the Gulf of Mexico 1943, scrapped 1946",39,1942-03-09,1942-05-18,Thomas Ruffin,Thomas Ruffin,Bethlehem-Fairfield Shipyards,Cargo
1942-06-10,189.0,"Sold private 1947, wrecked off Grays Harbor 1959 and scrapped",75,1941-12-03,1942-04-02,Abraham Clark ,Abraham Clark,California Shipbuilding Corp,Cargo
1942-06-10,137.0,"Scrapped 1970 <-- the ship was apparently spelled ""MacDowell"" while the namesake's name was really spelled ""McDowell""-->",321,1942-01-24,1942-05-22,Irvin MacDowell,Irvin McDowell,Permanente Metals Co Yard,Cargo
1942-06-11,126.0,Scrapped 1970,153,1942-02-05,1942-05-22,William Moultrie,William Moultrie,North Carolina Shipbuilding Co,Cargo
1942-06-11,103.0,Scrapped 1967,285,1942-02-28,1942-05-09,George Matthews,George Matthews,California Shipbuilding Corp,Cargo
1942-06-12,54.0,Scrapped 1963,200,1942-04-19,1942-05-29,Bret Harte,Bret Harte,Oregon Shipbuilding Corp,Cargo
1942-06-13,109.0,"Bombed off Naples 1944, repaired and sold private 1947, wrecked and burnt 1966",81,1942-02-24,1942-05-13,F A C Muhlenberg,F. A. C. Muhlenberg,California Shipbuilding Corp,Cargo
1942-06-13,87.0,"Sold private 1947, scrapped 1962",41,1942-03-18,1942-05-22,Richard Bassett,Richard Bassett,Bethlehem-Fairfield Shipyards,Cargo
1942-06-16,54.0,"Torpedoed and lost off South Africa 1943, scrapped",238,1942-04-23,1942-05-31,Anne Hutchinson,Anne Hutchinson,Oregon Shipbuilding Corp,Cargo
1942-06-16,102.0,"Sold private 1947, scrapped 1962",82,1942-03-06,1942-05-16,John B Ashe,John B. Ashe,California Shipbuilding Corp,Cargo
1942-06-16,90.0,Scrapped 1962,40,1942-03-18,1942-05-22,William Johnson,William Johnson,Bethlehem-Fairfield Shipyards,Cargo
1942-06-17,112.0,Scrapped 1971,154,1942-02-25,1942-05-31,Thomas Sumter,Thomas Sumter,North Carolina Shipbuilding Co,Cargo
1942-06-17,327.0,"Torpedoed off Algeria 1943, repaired, scrapped 1961",97,1941-07-25,1942-04-29,Matthew Maury,Matthew Maury,Todd Houston Shipbuilding Corp,Cargo
1942-06-18,99.0,Scrapped 1959,286,1942-03-11,1942-05-19,John Page,John Page,California Shipbuilding Corp,Cargo
1942-06-19,188.0,"Damaged in collision off Terneuzen 1944, repaired, scrapped 1969",302,1941-12-13,1942-05-30,William Paca,William Paca,Bethlehem-Fairfield Shipyards,Cargo
1942-06-19,108.0,Scrapped 1961,250,1942-03-03,1942-05-22,Lewis Morris,Lewis Morris,Permanente Metals Co Yard,Cargo
1942-06-20,54.0,"Sold private 1951, wrecked and scrapped 1963",239,1942-04-27,1942-06-04,John Harvard,John Harvard,Oregon Shipbuilding Corp,Cargo
1942-06-20,90.0,Scrapped 1962,287,1942-03-22,1942-05-23,James Schureman,James Schureman,California Shipbuilding Corp,Cargo
1942-06-20,157.0,"To Russia 1944 as Tbilisi, scrapped 1977",77,1942-01-14,1942-04-14,John Langdon,John Langdon,California Shipbuilding Corp,Cargo
1942-06-22,83.0,Torpedoed by U-862 and lost in the Indian Ocean 6 February 1945,288,1942-03-31,1942-05-27,Peter Silvester,Peter Silvester,California Shipbuilding Corp,Cargo
1942-06-22,83.0,Torpedoed and scuttled in the Greenland Sea 1942,42,1942-03-31,1942-06-04,Oliver Ellsworth,Oliver Ellsworth,Bethlehem-Fairfield Shipyards,Cargo
1942-06-22,332.0,Scrapped 1966,98,1941-07-25,1942-05-12,Winfield Scott,Winfield Scott,Todd Houston Shipbuilding Corp,Cargo
1942-06-24,83.0,Scrapped 1970,83,1942-04-02,1942-06-03,Egbert Benson,Egbert Benson,California Shipbuilding Corp,Cargo
1942-06-24,55.0,"Bombed and lost off Anzio 1944, raised and scrapped 1947",240,1942-04-30,1942-06-07,Elihu Yale,Elihu Yale,Oregon Shipbuilding Corp,Cargo
1942-06-24,106.0,Torpedoed and scuttled off Cape Farewell 1942,155,1942-03-10,1942-06-07,Jeremiah Van Rensselaer,Jeremiah Van Rensselaer,North Carolina Shipbuilding Co,Cargo
1942-06-25,252.0,Scrapped 1960,121,1941-10-16,1942-04-23,T J Jackson,T. J. Jackson,Delta Shipbuilding Co,Cargo
1942-06-26,81.0,Scrapped 1970,44,1942-04-06,1942-06-08,James Gunn,James Gunn,Bethlehem-Fairfield Shipyards,Cargo
1942-06-26,79.0,Scrapped 1967,84,1942-04-08,1942-06-07,Isaac Coles,Isaac Coles,California Shipbuilding Corp,Cargo
1942-06-27,131.0,Scrapped 1973,322,1942-02-16,1942-06-06,George B McClellan,George B. McClellan,Permanente Metals Co Yard,Cargo
1942-06-28,75.0,"Sold private 1947, scrapped 1968",85,1942-04-14,1942-06-09,Stephen Johnson Field,Stephen Johnson Field,California Shipbuilding Corp,Cargo
1942-06-28,54.0,Scrapped 1970,543,1942-05-05,1942-06-16,Cornelius Gilliam,Cornelius Gilliam,Oregon Shipbuilding Corp,Cargo
1942-06-29,90.0,Scrapped 1970,43,1942-03-31,1942-06-14,Theodore Foster,Theodore Foster,Bethlehem-Fairfield Shipyards,Cargo
1942-06-30,272.0,Scrapped 1967,3,1941-10-01,1942-04-23,Henry Clay,Henry Clay,Alabama Dry Dock Co,Cargo
1942-06-30,54.0,Scrapped 1960,544,1942-05-07,1942-06-18,George H Williams,George Henry Williams,Oregon Shipbuilding Corp,Cargo
1942-06-30,75.0,Scrapped 1962,86,1942-04-16,1942-06-12,Joseph McKenna,Joseph McKenna,California Shipbuilding Corp,Cargo
1942-06-30,77.0,Scrapped 1968,46,1942-04-14,1942-06-14,Samuel Johnston,Samuel Johnston,Bethlehem-Fairfield Shipyards,Cargo
1942-06-30,279.0,Scrapped 1960,201,1941-09-24,1942-05-15,John Davenport,John Davenport,New England Shipbuilding Corp,Cargo
1942-06-30,250.0,"Torpedoed off Gibraltar 1945, repaired, scrapped 1960",99,1941-10-23,1942-05-22,Michael J Stone,Michael J. Stone,Todd Houston Shipbuilding Corp,Cargo
1942-06-30,106.0,Scrapped 1971,251,1942-03-16,1942-06-14,John Wise,John Wise,Permanente Metals Co Yard,Cargo
1942-06-30,98.0,"Damaged in collision 1944, sunk as breakwater off Normandy and abandoned 1944",156,1942-03-24,1942-06-14,Artemas Ward,Artemas Ward,North Carolina Shipbuilding Co,Cargo
1942-07-06,56.0,"Kamikazied off Leyte 1944, repaired, scrapped 1961",545,1942-05-11,1942-06-23,Matthew P Deady,Matthew P. Deady,Oregon Shipbuilding Corp,Cargo
1942-07-06,76.0,Scrapped 1961,87,1942-04-21,1942-06-14,William M Stewart,William M. Stewart,California Shipbuilding Corp,Cargo
1942-07-06,83.0,Scrapped 1972,45,1942-04-14,1942-06-18,John Henry,John Henry,Bethlehem-Fairfield Shipyards,Cargo
1942-07-07,243.0,Scrapped 1970,122,1941-11-06,1942-05-09,Thomas B Robertson,Thomas B. Robertson,Delta Shipbuilding Co,Cargo
1942-07-07,73.0,Scrapped 1967,47,1942-04-25,1942-06-22,William MacLay,William MacLay,Bethlehem-Fairfield Shipyards,Cargo
1942-07-08,261.0,"Torpedoed and lost off Algeria, 1943",4,1941-10-20,1942-05-03,Arthur Middleton,Arthur Middleton,Alabama Dry Dock Co,Cargo
1942-07-08,128.0,Scrapped 1967,323,1942-03-02,1942-06-20,Joseph Hooker,Joseph Hooker,Permanente Metals Co Yard,Cargo
1942-07-08,100.0,Scrapped 1961,220,1942-03-30,1942-06-21,Edward Rutledge,Edward Rutledge,North Carolina Shipbuilding Co,Cargo
1942-07-09,54.0,Scrapped 1967,546,1942-05-16,1942-06-27,Jason Lee,Jason Lee,Oregon Shipbuilding Corp,Cargo
1942-07-10,74.0,Scrapped 1967,88,1942-04-27,1942-06-19,Willis Van Devanter,Willis Van Devanter,California Shipbuilding Corp,Cargo
1942-07-11,210.0,Scrapped 1954,303,1941-12-13,1942-06-25,Benjamin Rush,Benjamin Rush,Bethlehem-Fairfield Shipyards,Cargo
1942-07-13,263.0,Scrapped 1967,265,1941-10-23,1942-05-22,Stephen F Austin,Stephen F. Austin,Todd Houston Shipbuilding Corp,Cargo
1942-07-13,75.0,Scrapped 1971,48,1942-04-29,1942-06-26,William Patterson,William Patterson,Bethlehem-Fairfield Shipyards,Cargo
1942-07-14,75.0,Scrapped 1961,289,1942-04-30,1942-06-21,John Steele,John Steele,California Shipbuilding Corp,Cargo
1942-07-14,106.0,Scrapped 1966,252,1942-03-30,1942-06-29,George Ross,George Ross,Permanente Metals Co Yard,Cargo
1942-07-14,92.0,Scrapped 1966,221,1942-04-13,1942-06-28,Abel Parker Upshur,Abel Parker Upshur,North Carolina Shipbuilding Co,Cargo
1942-07-14,53.0,Torpedoed and lost off Brazil 1942,547,1942-05-22,1942-06-30,Marcus Whitman,Marcus Whitman,Oregon Shipbuilding Corp,Cargo
1942-07-16,266.0,Scrapped 1971,100,1941-10-23,1942-05-29,David S Terry,David S. Terry,Todd Houston Shipbuilding Corp,Cargo
1942-07-16,72.0,Torpedoed and lost off West Africa 1942,290,1942-05-05,1942-06-23,George Thacher,George Thatcher,California Shipbuilding Corp,Cargo
1942-07-17,56.0,Scrapped 1971,548,1942-05-22,1942-07-04,John McLoughlin,John McLoughlin,Oregon Shipbuilding Corp,Cargo
1942-07-18,77.0,Scrapped 1964,304,1942-05-02,1942-07-04,Joseph Stanton,Joseph Stanton Jr.,Bethlehem-Fairfield Shipyards,Cargo
1942-07-19,71.0,Scrapped 1961,291,1942-05-09,1942-06-27,Juan Cabrillo,Juan Cabrillo,California Shipbuilding Corp,Cargo
