Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Zachary Taylor,Cargo,244,Permanente Metals Co Yard,1941-10-06,1942-02-28,1942-04-13,189.0,Zachary Taylor,Scrapped 1961
John Hart,Cargo,184,Oregon Shipbuilding Corp,1941-12-16,1942-02-25,1942-04-15,120.0,John Hart,Scrapped 1966
Daniel Boone,Cargo,69,California Shipbuilding Corp,1941-07-17,1942-01-14,1942-04-15,272.0,Daniel Boone,"To U.S. Navy as Ara (AK-136), scrapped 1972"
Daniel Morgan,Cargo,149,North Carolina Shipbuilding Co,1941-09-03,1942-03-08,1942-04-16,225.0,Daniel Morgan,"Torpedoed Northern Russia 7 May 1942 - Wreck beached Kola Bay, just outside Murmansk. Survives to this day."
Richard Bland,Cargo,28,Bethlehem-Fairfield Shipyards,1941-10-29,1942-02-28,1942-04-17,170.0,Richard Bland,Torpedoed and lost in the Arctic 1942
Henry W Longfellow,Cargo,185,Oregon Shipbuilding Corp,1941-12-22,1942-03-05,1942-04-18,117.0,Henry W. Longfellow,Scrapped 1962
John Dickinson,Cargo,232,Oregon Shipbuilding Corp,1941-12-29,1942-03-11,1942-04-21,113.0,John Dickinson,Scrapped 1973
Anthony Wayne,Cargo,245,Permanente Metals Co Yard,1941-10-06,1942-03-15,1942-04-23,199.0,Anthony Wayne,Scrapped 1960
John Witherspoon,Cargo,31,Bethlehem-Fairfield Shipyards,1941-12-10,1942-03-04,1942-04-23,134.0,John Witherspoon,Torpedoed and lost in the Kara Sea 1942
Fisher Ames,Cargo,233,Oregon Shipbuilding Corp,1942-01-12,1942-03-17,1942-04-24,102.0,Fisher Ames,Scrapped 1970
Robert Morris,Cargo,70,California Shipbuilding Corp,1941-07-23,1942-01-28,1942-04-24,275.0,Robert Morris,Scrapped 1972
Francis L Lee,Cargo,26,Bethlehem-Fairfield Shipyards,1941-10-13,1942-03-14,1942-04-27,196.0,Francis L. Lee,Scrapped 1965
Francis Marion,Cargo,150,North Carolina Shipbuilding Co,1941-09-04,1942-03-22,1942-04-27,235.0,Francis Marion,Scrapped 1967
Robert G Harper,Cargo,234,Oregon Shipbuilding Corp,1942-01-22,1942-03-22,1942-04-27,95.0,Robert G. Harper,"Sold private 1947, scrapped 1970"
Edgar Allan Poe,Cargo,186,Oregon Shipbuilding Corp,1942-01-29,1942-03-26,1942-04-28,89.0,Edgar Allan Poe,"Torpedoed off New Caledonia 1942, to U.S. Navy as IX-103, wrecked 1949, scrapped"
Samuel Adams,Cargo,71,California Shipbuilding Corp,1941-07-31,1942-01-31,1942-04-28,271.0,Samuel Adams,Scrapped 1966
Timothy Pickering,Cargo,246,Permanente Metals Co Yard,1941-10-08,1942-03-28,1942-04-30,204.0,Timothy Pickering,Torpedoed from the air and lost off Sicily 1943
George Calvert,Cargo,29,Bethlehem-Fairfield Shipyards,1941-11-19,1942-03-14,1942-04-30,162.0,George Calvert,Torpedoed by U-753 in 1942
Albert Gallatin,Cargo,277,California Shipbuilding Corp,1941-09-11,1942-02-12,1942-04-30,231.0,Albert Gallatin,"Torpedoed off Savannah but unharmed 1943, torpedoed and lost in the Arabian Sea 1944"
Nathaniel Hawthorne,Cargo,187,Oregon Shipbuilding Corp,1942-02-05,1942-03-31,1942-05-02,86.0,Nathaniel Hawthorne,Torpedoed and lost off Trinidad 1942
John G Whittier,Cargo,188,Oregon Shipbuilding Corp,1942-02-08,1942-04-05,1942-05-04,85.0,John G. Whittier,Scrapped 1962
Robert Treat Paine,Cargo,32,Bethlehem-Fairfield Shipyards,1942-01-06,1942-03-28,1942-05-05,119.0,Robert Treat Paine,"Sold private 1947, wrecked and scrapped 1964"
Joseph Hewes,Cargo,217,North Carolina Shipbuilding Co,1941-09-22,1942-03-29,1942-05-06,226.0,Joseph Hewes,Scrapped 1968
William Cullen Bryant,Cargo,189,Oregon Shipbuilding Corp,1942-02-16,1942-04-07,1942-05-07,80.0,William Cullen Bryant,"Torpedoed off Key West 1942, repaired, scrapped 1963"
Nathan Hale,Cargo,72,California Shipbuilding Corp,1941-09-29,1942-02-04,1942-05-07,220.0,Nathan Hale,Mined off Gorgona 1946 and scrapped
George Wythe,Cargo,24,Bethlehem-Fairfield Shipyards,1941-09-22,1942-03-28,1942-05-09,229.0,George Wythe,Scrapped 1970
Zebulon Pike,Cargo,73,California Shipbuilding Corp,1941-10-27,1942-02-24,1942-05-09,194.0,Zebulon Pike,Scrapped 1961
James Russell Lowell,Cargo,190,Oregon Shipbuilding Corp,1942-02-19,1942-04-12,1942-05-09,79.0,James Russell Lowell,"Torpedoed off Algeria 1943, salvaged 1953 and scuttled"
Oliver Hazard Perry,Cargo,278,California Shipbuilding Corp,1941-09-15,1942-02-18,1942-05-09,236.0,Oliver Hazard Perry,Scrapped 1971
Stephen Hopkins,Cargo,247,Permanente Metals Co Yard,1942-01-02,1942-04-14,1942-05-11,129.0,Stephen Hopkins,Sunk by gunfire in the South Atlantic 1942
John Penn,Cargo,218,North Carolina Shipbuilding Co,1941-09-23,1942-04-12,1942-05-11,230.0,John Penn,Torpedoed and scuttled off Greenland 1942
Thomas Nelson,Cargo,30,Bethlehem-Fairfield Shipyards,1941-12-10,1942-04-04,1942-05-12,153.0,Thomas Nelson,"Kamikazied off Leyte 1944, repaired, converted to diesel 1956, scrapped 1981"
Henry D Thoreau,Cargo,191,Oregon Shipbuilding Corp,1942-02-23,1942-04-16,1942-05-13,79.0,Henry D. Thoreau,Scrapped 1972
Henry Knox,Cargo,74,California Shipbuilding Corp,1941-11-17,1942-03-06,1942-05-13,177.0,Henry Knox,Torpedoed and lost off the Maldives 1943
Ralph Waldo Emerson,Cargo,192,Oregon Shipbuilding Corp,1942-02-26,1942-04-19,1942-05-15,78.0,Ralph Waldo Emerson,Scrapped 1960
J L M Curry,Cargo,1,Alabama Dry Dock Co,1941-07-28,1942-01-31,1942-05-15,291.0,J. L. M. Curry,"Broke up in the North Atlantic and scuttled, 1943"
Abiel Foster,Cargo,281,California Shipbuilding Corp,1941-10-13,1942-03-22,1942-05-16,215.0,Abiel Foster,Scrapped 1961
Thomas Stone,Cargo,27,Bethlehem-Fairfield Shipyards,1941-10-20,1942-04-12,1942-05-16,208.0,Thomas Stone,Scrapped 1972
James Whitcomb Riley,Cargo,193,Oregon Shipbuilding Corp,1942-03-05,1942-04-23,1942-05-17,73.0,James Whitcomb Riley,Scrapped 1971
Samuel Huntington,Cargo,248,Permanente Metals Co Yard,1942-01-20,1942-04-26,1942-05-18,118.0,Samuel Huntington,Bombed and lost off Anzio 1944
St Olaf,Cargo,33,Bethlehem-Fairfield Shipyards,1942-01-06,1942-04-12,1942-05-20,134.0,St. Olaf,"To U.S. Army as hospital ship Jasmine, scrapped 1963"
Elbridge Gerry,Cargo,279,California Shipbuilding Corp,1941-09-22,1942-02-28,1942-05-20,240.0,Elbridge Gerry,Scrapped 1966
Benjamin Goodhue,Cargo,282,California Shipbuilding Corp,1941-10-20,1942-03-31,1942-05-20,212.0,Benjamin Goodhue,Scrapped 1961
John C Calhoun,Cargo,219,North Carolina Shipbuilding Co,1941-10-01,1942-04-26,1942-05-21,232.0,John C. Calhoun,"Blew up in Finschaven 1944, declared total loss but refloated, scrapped"
Jonathan Edwards,Cargo,237,Oregon Shipbuilding Corp,1942-03-23,1942-05-05,1942-05-22,60.0,Jonathan Edwards,Scrapped 1961
Samuel Moody,Cargo,235,Oregon Shipbuilding Corp,1942-03-12,1942-04-27,1942-05-22,71.0,Samuel Moody,Scrapped 1964
John Sevier,Cargo,236,Oregon Shipbuilding Corp,1942-03-18,1942-04-30,1942-05-22,65.0,John Sevier,Torpedoed and lost off Cuba 1943
Esek Hopkins,Cargo,34,Bethlehem-Fairfield Shipyards,1942-01-28,1942-04-27,1942-05-23,115.0,Esek Hopkins,Scrapped 1967
William Floyd,Cargo,76,California Shipbuilding Corp,1941-12-22,1942-04-08,1942-05-23,152.0,William Floyd,Scrapped 1971
Oliver Wendell Holmes,Cargo,194,Oregon Shipbuilding Corp,1942-03-26,1942-05-07,1942-05-25,60.0,Oliver Wendell Holmes,Scrapped 1970
Peter Minuit,Cargo,35,Bethlehem-Fairfield Shipyards,1942-01-28,1942-04-23,1942-05-27,119.0,Peter Minuit,Scrapped 1963
Sam Houston,Cargo,95,Todd Houston Shipbuilding Corp,1941-07-18,1942-03-29,1942-05-27,313.0,Sam Houston,"Torpedoed and lost off the Virgin Islands, 1942"
Caleb Strong,Cargo,78,California Shipbuilding Corp,1942-01-28,1942-04-16,1942-05-27,119.0,Caleb Strong,Scrapped 1966
Charles C Pinckney,Cargo,151,North Carolina Shipbuilding Co,1941-12-11,1942-05-10,1942-05-28,168.0,Charles C. Pinckney,Torpedoed and lost off the Azores 1943
William Ellery,Cargo,249,Permanente Metals Co Yard,1942-02-09,1942-05-09,1942-05-28,108.0,William Ellery,Scrapped 1968
Walt Whitman,Cargo,195,Oregon Shipbuilding Corp,1942-03-31,1942-05-11,1942-05-28,58.0,Walt Whitman,Scrapped 1972
Rufus King,Cargo,280,California Shipbuilding Corp,1941-10-06,1942-03-11,1942-05-29,235.0,Rufus King,"Wrecked, broke in two, off Moreton Island 1942. Bow half salvaged, equipped for vessel repair & supply. Dubbed Half Rufus towed to Milne Bay for U.S. Army use. Sunk as target by RAAF"
Thomas McKean,Cargo,301,Bethlehem-Fairfield Shipyards,1941-11-05,1942-04-30,1942-05-29,205.0,Thomas McKean,Torpedoed and lost in the Caribbean 1942
Paine Wingate,Cargo,79,California Shipbuilding Corp,1942-01-31,1942-04-21,1942-05-29,118.0,Paine Wingate,Scrapped 1973
John Marshall,Cargo,2,Alabama Dry Dock Co,1941-08-18,1942-02-21,1942-05-31,286.0,John Marshall,"YAG 1955, scrapped 1971"
William C C Claiborne,Cargo,120,Delta Shipbuilding Co,1941-10-01,1942-03-28,1942-05-31,242.0,William C. C. Claiborne,Scrapped 1961
Mark Twain,Cargo,196,Oregon Shipbuilding Corp,1942-04-05,1942-05-16,1942-05-31,56.0,Mark Twain,Scrapped 1959
Thomas Bailey Aldrich,Cargo,199,Oregon Shipbuilding Corp,1942-04-16,1942-05-22,1942-06-01,46.0,Thomas Bailey Aldrich,Scrapped 1968
Alexander Macomb,Cargo,36,Bethlehem-Fairfield Shipyards,1942-02-18,1942-05-06,1942-06-02,104.0,Alexander Macomb,Torpedoed and lost in the North Atlantic 1942
Davy Crockett,Cargo,96,Todd Houston Shipbuilding Corp,1941-07-18,1942-04-19,1942-06-02,319.0,Davy Crockett,"Converted to pipelayer 1969, converted to barge 1980s, scrapped 2011-2013."
James Monroe,Cargo,80,California Shipbuilding Corp,1942-02-04,1942-04-27,1942-06-03,119.0,James Monroe,Scrapped 1970
John Cropper,Cargo,152,North Carolina Shipbuilding Co,1942-01-20,1942-05-17,1942-06-04,135.0,John Cropper,Scrapped 1965
Eleazar Wheelock,Cargo,38,Bethlehem-Fairfield Shipyards,1942-03-04,1942-05-11,1942-06-05,93.0,Eleazar Wheelock,Scrapped 1964
Washington Irving,Cargo,197,Oregon Shipbuilding Corp,1942-04-07,1942-05-22,1942-06-05,59.0,Washington Irving,Scrapped 1972
John Hathorn,Cargo,283,California Shipbuilding Corp,1942-02-12,1942-04-30,1942-06-06,114.0,John Hathorn,Scrapped 1972
James Fenimore Cooper,Cargo,198,Oregon Shipbuilding Corp,1942-04-12,1942-05-22,1942-06-08,57.0,James Fenimore Cooper,"Sold private 1951, wrecked and scrapped 1967"
Henry St G Tucker,Cargo,37,Bethlehem-Fairfield Shipyards,1942-02-25,1942-05-14,1942-06-08,103.0,"Henry St. George Tucker, Sr.",Scrapped 1966
Edwin Markham,Cargo,284,California Shipbuilding Corp,1942-02-18,1942-05-05,1942-06-09,111.0,Edwin Markham,Scrapped 1965
Thomas Ruffin,Cargo,39,Bethlehem-Fairfield Shipyards,1942-03-09,1942-05-18,1942-06-10,93.0,Thomas Ruffin,"Torpedoed in the Gulf of Mexico 1943, scrapped 1946"
Abraham Clark ,Cargo,75,California Shipbuilding Corp,1941-12-03,1942-04-02,1942-06-10,189.0,Abraham Clark,"Sold private 1947, wrecked off Grays Harbor 1959 and scrapped"
Irvin MacDowell,Cargo,321,Permanente Metals Co Yard,1942-01-24,1942-05-22,1942-06-10,137.0,Irvin McDowell,"Scrapped 1970 <-- the ship was apparently spelled ""MacDowell"" while the namesake's name was really spelled ""McDowell""-->"
William Moultrie,Cargo,153,North Carolina Shipbuilding Co,1942-02-05,1942-05-22,1942-06-11,126.0,William Moultrie,Scrapped 1970
George Matthews,Cargo,285,California Shipbuilding Corp,1942-02-28,1942-05-09,1942-06-11,103.0,George Matthews,Scrapped 1967
Bret Harte,Cargo,200,Oregon Shipbuilding Corp,1942-04-19,1942-05-29,1942-06-12,54.0,Bret Harte,Scrapped 1963
F A C Muhlenberg,Cargo,81,California Shipbuilding Corp,1942-02-24,1942-05-13,1942-06-13,109.0,F. A. C. Muhlenberg,"Bombed off Naples 1944, repaired and sold private 1947, wrecked and burnt 1966"
Richard Bassett,Cargo,41,Bethlehem-Fairfield Shipyards,1942-03-18,1942-05-22,1942-06-13,87.0,Richard Bassett,"Sold private 1947, scrapped 1962"
Anne Hutchinson,Cargo,238,Oregon Shipbuilding Corp,1942-04-23,1942-05-31,1942-06-16,54.0,Anne Hutchinson,"Torpedoed and lost off South Africa 1943, scrapped"
William Johnson,Cargo,40,Bethlehem-Fairfield Shipyards,1942-03-18,1942-05-22,1942-06-16,90.0,William Johnson,Scrapped 1962
John B Ashe,Cargo,82,California Shipbuilding Corp,1942-03-06,1942-05-16,1942-06-16,102.0,John B. Ashe,"Sold private 1947, scrapped 1962"
Matthew Maury,Cargo,97,Todd Houston Shipbuilding Corp,1941-07-25,1942-04-29,1942-06-17,327.0,Matthew Maury,"Torpedoed off Algeria 1943, repaired, scrapped 1961"
Thomas Sumter,Cargo,154,North Carolina Shipbuilding Co,1942-02-25,1942-05-31,1942-06-17,112.0,Thomas Sumter,Scrapped 1971
John Page,Cargo,286,California Shipbuilding Corp,1942-03-11,1942-05-19,1942-06-18,99.0,John Page,Scrapped 1959
William Paca,Cargo,302,Bethlehem-Fairfield Shipyards,1941-12-13,1942-05-30,1942-06-19,188.0,William Paca,"Damaged in collision off Terneuzen 1944, repaired, scrapped 1969"
Lewis Morris,Cargo,250,Permanente Metals Co Yard,1942-03-03,1942-05-22,1942-06-19,108.0,Lewis Morris,Scrapped 1961
John Harvard,Cargo,239,Oregon Shipbuilding Corp,1942-04-27,1942-06-04,1942-06-20,54.0,John Harvard,"Sold private 1951, wrecked and scrapped 1963"
James Schureman,Cargo,287,California Shipbuilding Corp,1942-03-22,1942-05-23,1942-06-20,90.0,James Schureman,Scrapped 1962
John Langdon,Cargo,77,California Shipbuilding Corp,1942-01-14,1942-04-14,1942-06-20,157.0,John Langdon,"To Russia 1944 as Tbilisi, scrapped 1977"
Peter Silvester,Cargo,288,California Shipbuilding Corp,1942-03-31,1942-05-27,1942-06-22,83.0,Peter Silvester,Torpedoed by U-862 and lost in the Indian Ocean 6 February 1945
Oliver Ellsworth,Cargo,42,Bethlehem-Fairfield Shipyards,1942-03-31,1942-06-04,1942-06-22,83.0,Oliver Ellsworth,Torpedoed and scuttled in the Greenland Sea 1942
Winfield Scott,Cargo,98,Todd Houston Shipbuilding Corp,1941-07-25,1942-05-12,1942-06-22,332.0,Winfield Scott,Scrapped 1966
Elihu Yale,Cargo,240,Oregon Shipbuilding Corp,1942-04-30,1942-06-07,1942-06-24,55.0,Elihu Yale,"Bombed and lost off Anzio 1944, raised and scrapped 1947"
Jeremiah Van Rensselaer,Cargo,155,North Carolina Shipbuilding Co,1942-03-10,1942-06-07,1942-06-24,106.0,Jeremiah Van Rensselaer,Torpedoed and scuttled off Cape Farewell 1942
Egbert Benson,Cargo,83,California Shipbuilding Corp,1942-04-02,1942-06-03,1942-06-24,83.0,Egbert Benson,Scrapped 1970
T J Jackson,Cargo,121,Delta Shipbuilding Co,1941-10-16,1942-04-23,1942-06-25,252.0,T. J. Jackson,Scrapped 1960
James Gunn,Cargo,44,Bethlehem-Fairfield Shipyards,1942-04-06,1942-06-08,1942-06-26,81.0,James Gunn,Scrapped 1970
Isaac Coles,Cargo,84,California Shipbuilding Corp,1942-04-08,1942-06-07,1942-06-26,79.0,Isaac Coles,Scrapped 1967
George B McClellan,Cargo,322,Permanente Metals Co Yard,1942-02-16,1942-06-06,1942-06-27,131.0,George B. McClellan,Scrapped 1973
Cornelius Gilliam,Cargo,543,Oregon Shipbuilding Corp,1942-05-05,1942-06-16,1942-06-28,54.0,Cornelius Gilliam,Scrapped 1970
Stephen Johnson Field,Cargo,85,California Shipbuilding Corp,1942-04-14,1942-06-09,1942-06-28,75.0,Stephen Johnson Field,"Sold private 1947, scrapped 1968"
Theodore Foster,Cargo,43,Bethlehem-Fairfield Shipyards,1942-03-31,1942-06-14,1942-06-29,90.0,Theodore Foster,Scrapped 1970
Artemas Ward,Cargo,156,North Carolina Shipbuilding Co,1942-03-24,1942-06-14,1942-06-30,98.0,Artemas Ward,"Damaged in collision 1944, sunk as breakwater off Normandy and abandoned 1944"
John Wise,Cargo,251,Permanente Metals Co Yard,1942-03-16,1942-06-14,1942-06-30,106.0,John Wise,Scrapped 1971
John Davenport,Cargo,201,New England Shipbuilding Corp,1941-09-24,1942-05-15,1942-06-30,279.0,John Davenport,Scrapped 1960
Michael J Stone,Cargo,99,Todd Houston Shipbuilding Corp,1941-10-23,1942-05-22,1942-06-30,250.0,Michael J. Stone,"Torpedoed off Gibraltar 1945, repaired, scrapped 1960"
Joseph McKenna,Cargo,86,California Shipbuilding Corp,1942-04-16,1942-06-12,1942-06-30,75.0,Joseph McKenna,Scrapped 1962
Samuel Johnston,Cargo,46,Bethlehem-Fairfield Shipyards,1942-04-14,1942-06-14,1942-06-30,77.0,Samuel Johnston,Scrapped 1968
Henry Clay,Cargo,3,Alabama Dry Dock Co,1941-10-01,1942-04-23,1942-06-30,272.0,Henry Clay,Scrapped 1967
George H Williams,Cargo,544,Oregon Shipbuilding Corp,1942-05-07,1942-06-18,1942-06-30,54.0,George Henry Williams,Scrapped 1960
Matthew P Deady,Cargo,545,Oregon Shipbuilding Corp,1942-05-11,1942-06-23,1942-07-06,56.0,Matthew P. Deady,"Kamikazied off Leyte 1944, repaired, scrapped 1961"
William M Stewart,Cargo,87,California Shipbuilding Corp,1942-04-21,1942-06-14,1942-07-06,76.0,William M. Stewart,Scrapped 1961
John Henry,Cargo,45,Bethlehem-Fairfield Shipyards,1942-04-14,1942-06-18,1942-07-06,83.0,John Henry,Scrapped 1972
Thomas B Robertson,Cargo,122,Delta Shipbuilding Co,1941-11-06,1942-05-09,1942-07-07,243.0,Thomas B. Robertson,Scrapped 1970
William MacLay,Cargo,47,Bethlehem-Fairfield Shipyards,1942-04-25,1942-06-22,1942-07-07,73.0,William MacLay,Scrapped 1967
Arthur Middleton,Cargo,4,Alabama Dry Dock Co,1941-10-20,1942-05-03,1942-07-08,261.0,Arthur Middleton,"Torpedoed and lost off Algeria, 1943"
Joseph Hooker,Cargo,323,Permanente Metals Co Yard,1942-03-02,1942-06-20,1942-07-08,128.0,Joseph Hooker,Scrapped 1967
Edward Rutledge,Cargo,220,North Carolina Shipbuilding Co,1942-03-30,1942-06-21,1942-07-08,100.0,Edward Rutledge,Scrapped 1961
Jason Lee,Cargo,546,Oregon Shipbuilding Corp,1942-05-16,1942-06-27,1942-07-09,54.0,Jason Lee,Scrapped 1967
Willis Van Devanter,Cargo,88,California Shipbuilding Corp,1942-04-27,1942-06-19,1942-07-10,74.0,Willis Van Devanter,Scrapped 1967
Benjamin Rush,Cargo,303,Bethlehem-Fairfield Shipyards,1941-12-13,1942-06-25,1942-07-11,210.0,Benjamin Rush,Scrapped 1954
Stephen F Austin,Cargo,265,Todd Houston Shipbuilding Corp,1941-10-23,1942-05-22,1942-07-13,263.0,Stephen F. Austin,Scrapped 1967
William Patterson,Cargo,48,Bethlehem-Fairfield Shipyards,1942-04-29,1942-06-26,1942-07-13,75.0,William Patterson,Scrapped 1971
John Steele,Cargo,289,California Shipbuilding Corp,1942-04-30,1942-06-21,1942-07-14,75.0,John Steele,Scrapped 1961
George Ross,Cargo,252,Permanente Metals Co Yard,1942-03-30,1942-06-29,1942-07-14,106.0,George Ross,Scrapped 1966
Abel Parker Upshur,Cargo,221,North Carolina Shipbuilding Co,1942-04-13,1942-06-28,1942-07-14,92.0,Abel Parker Upshur,Scrapped 1966
Marcus Whitman,Cargo,547,Oregon Shipbuilding Corp,1942-05-22,1942-06-30,1942-07-14,53.0,Marcus Whitman,Torpedoed and lost off Brazil 1942
David S Terry,Cargo,100,Todd Houston Shipbuilding Corp,1941-10-23,1942-05-29,1942-07-16,266.0,David S. Terry,Scrapped 1971
George Thacher,Cargo,290,California Shipbuilding Corp,1942-05-05,1942-06-23,1942-07-16,72.0,George Thatcher,Torpedoed and lost off West Africa 1942
John McLoughlin,Cargo,548,Oregon Shipbuilding Corp,1942-05-22,1942-07-04,1942-07-17,56.0,John McLoughlin,Scrapped 1971
Joseph Stanton,Cargo,304,Bethlehem-Fairfield Shipyards,1942-05-02,1942-07-04,1942-07-18,77.0,Joseph Stanton Jr.,Scrapped 1964
